"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22763","Validar mensagem ao não encontrar a pesquisa desejada","","Tue Jun 03 09:25:18 GMT 2025","broken","Tue Jun 03 09:25:41 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarMensagemParaPesquisaNaoEncontrada"
"","10904","Validar quando não a resultado encontrado é disponibilizado uma nova opção de pesquisa","","Tue Jun 03 09:25:41 GMT 2025","broken","Tue Jun 03 09:25:52 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarBarraDePesquisaParaQuandoOResultadoNaoEhEncontrado"
"","10904","Realizar uma pesquisa sobre o passo a passo para realizar um pagamento via PIX no agibank","","Tue Jun 03 09:25:52 GMT 2025","broken","Tue Jun 03 09:26:03 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","realizarUmaPesquisaSobreComoRealizarPIX"
