"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19211","Validar mensagem ao não encontrar a pesquisa desejada","","Thu Dec 11 09:29:43 UTC 2025","broken","Thu Dec 11 09:30:02 UTC 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarMensagemParaPesquisaNaoEncontrada"
"","10843","Realizar uma pesquisa sobre o passo a passo para realizar um pagamento via PIX no agibank","","Thu Dec 11 09:30:13 UTC 2025","broken","Thu Dec 11 09:30:24 UTC 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","realizarUmaPesquisaSobreComoRealizarPIX"
"","10905","Validar quando não a resultado encontrado é disponibilizado uma nova opção de pesquisa","","Thu Dec 11 09:30:02 UTC 2025","broken","Thu Dec 11 09:30:13 UTC 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarBarraDePesquisaParaQuandoOResultadoNaoEhEncontrado"
