"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11529","Realizar uma pesquisa sobre o passo a passo para realizar um pagamento via PIX no agibank","","Mon May 11 12:13:44 UTC 2026","broken","Mon May 11 12:13:56 UTC 2026","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","realizarUmaPesquisaSobreComoRealizarPIX"
"","18987","Validar mensagem ao não encontrar a pesquisa desejada","","Mon May 11 12:13:14 UTC 2026","broken","Mon May 11 12:13:33 UTC 2026","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarMensagemParaPesquisaNaoEncontrada"
"","11643","Validar quando não a resultado encontrado é disponibilizado uma nova opção de pesquisa","","Mon May 11 12:13:33 UTC 2026","broken","Mon May 11 12:13:44 UTC 2026","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarBarraDePesquisaParaQuandoOResultadoNaoEhEncontrado"
