"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Sep 13 09:19:31 GMT 2024","Fri Sep 13 09:19:53 GMT 2024","22348","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarMensagemParaPesquisaNaoEncontrada","Validar mensagem ao não encontrar a pesquisa desejada",""
"broken","Fri Sep 13 09:19:53 GMT 2024","Fri Sep 13 09:20:04 GMT 2024","11129","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarBarraDePesquisaParaQuandoOResultadoNaoEhEncontrado","Validar quando não a resultado encontrado é disponibilizado uma nova opção de pesquisa",""
"broken","Fri Sep 13 09:20:04 GMT 2024","Fri Sep 13 09:20:16 GMT 2024","11844","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","realizarUmaPesquisaSobreComoRealizarPIX","Realizar uma pesquisa sobre o passo a passo para realizar um pagamento via PIX no agibank",""
