"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18959","Validar mensagem ao não encontrar a pesquisa desejada","","Wed Dec 03 09:28:12 UTC 2025","broken","Wed Dec 03 09:28:31 UTC 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarMensagemParaPesquisaNaoEncontrada"
"","11543","Validar quando não a resultado encontrado é disponibilizado uma nova opção de pesquisa","","Wed Dec 03 09:28:31 UTC 2025","broken","Wed Dec 03 09:28:43 UTC 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarBarraDePesquisaParaQuandoOResultadoNaoEhEncontrado"
"","11169","Realizar uma pesquisa sobre o passo a passo para realizar um pagamento via PIX no agibank","","Wed Dec 03 09:28:43 UTC 2025","broken","Wed Dec 03 09:28:54 UTC 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","realizarUmaPesquisaSobreComoRealizarPIX"
