"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13725","Validar mensagem ao não encontrar a pesquisa desejada","","Mon Aug 25 09:25:38 UTC 2025","broken","Mon Aug 25 09:25:51 UTC 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarMensagemParaPesquisaNaoEncontrada"
"","10821","Validar quando não a resultado encontrado é disponibilizado uma nova opção de pesquisa","","Mon Aug 25 09:25:52 UTC 2025","broken","Mon Aug 25 09:26:02 UTC 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarBarraDePesquisaParaQuandoOResultadoNaoEhEncontrado"
"","10840","Realizar uma pesquisa sobre o passo a passo para realizar um pagamento via PIX no agibank","","Mon Aug 25 09:26:02 UTC 2025","broken","Mon Aug 25 09:26:13 UTC 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","realizarUmaPesquisaSobreComoRealizarPIX"
