"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10984","Validar quando não a resultado encontrado é disponibilizado uma nova opção de pesquisa","","Mon Apr 14 09:24:39 GMT 2025","broken","Mon Apr 14 09:24:50 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarBarraDePesquisaParaQuandoOResultadoNaoEhEncontrado"
"","10870","Realizar uma pesquisa sobre o passo a passo para realizar um pagamento via PIX no agibank","","Mon Apr 14 09:24:50 GMT 2025","broken","Mon Apr 14 09:25:01 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","realizarUmaPesquisaSobreComoRealizarPIX"
"","15350","Validar mensagem ao não encontrar a pesquisa desejada","","Mon Apr 14 09:24:24 GMT 2025","broken","Mon Apr 14 09:24:39 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarMensagemParaPesquisaNaoEncontrada"
