"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14685","Validar mensagem ao não encontrar a pesquisa desejada","","Fri Feb 07 09:19:52 GMT 2025","broken","Fri Feb 07 09:20:07 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarMensagemParaPesquisaNaoEncontrada"
"","10867","Realizar uma pesquisa sobre o passo a passo para realizar um pagamento via PIX no agibank","","Fri Feb 07 09:20:18 GMT 2025","broken","Fri Feb 07 09:20:29 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","realizarUmaPesquisaSobreComoRealizarPIX"
"","10868","Validar quando não a resultado encontrado é disponibilizado uma nova opção de pesquisa","","Fri Feb 07 09:20:07 GMT 2025","broken","Fri Feb 07 09:20:18 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarBarraDePesquisaParaQuandoOResultadoNaoEhEncontrado"
