"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11398","Validar quando não a resultado encontrado é disponibilizado uma nova opção de pesquisa","","Wed Jan 07 09:32:29 UTC 2026","broken","Wed Jan 07 09:32:40 UTC 2026","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarBarraDePesquisaParaQuandoOResultadoNaoEhEncontrado"
"","11174","Realizar uma pesquisa sobre o passo a passo para realizar um pagamento via PIX no agibank","","Wed Jan 07 09:32:40 UTC 2026","broken","Wed Jan 07 09:32:51 UTC 2026","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","realizarUmaPesquisaSobreComoRealizarPIX"
"","19346","Validar mensagem ao não encontrar a pesquisa desejada","","Wed Jan 07 09:32:09 UTC 2026","broken","Wed Jan 07 09:32:29 UTC 2026","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarMensagemParaPesquisaNaoEncontrada"
