"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14240","Validar mensagem ao não encontrar a pesquisa desejada","","Mon Jan 06 09:21:39 GMT 2025","broken","Mon Jan 06 09:21:53 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarMensagemParaPesquisaNaoEncontrada"
"","11077","Validar quando não a resultado encontrado é disponibilizado uma nova opção de pesquisa","","Mon Jan 06 09:21:53 GMT 2025","broken","Mon Jan 06 09:22:04 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarBarraDePesquisaParaQuandoOResultadoNaoEhEncontrado"
"","11122","Realizar uma pesquisa sobre o passo a passo para realizar um pagamento via PIX no agibank","","Mon Jan 06 09:22:04 GMT 2025","broken","Mon Jan 06 09:22:15 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","realizarUmaPesquisaSobreComoRealizarPIX"
