"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10872","Validar quando não a resultado encontrado é disponibilizado uma nova opção de pesquisa","","Thu May 22 09:25:13 GMT 2025","broken","Thu May 22 09:25:24 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarBarraDePesquisaParaQuandoOResultadoNaoEhEncontrado"
"","31397","Validar mensagem ao não encontrar a pesquisa desejada","","Thu May 22 09:24:41 GMT 2025","broken","Thu May 22 09:25:13 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarMensagemParaPesquisaNaoEncontrada"
"","10906","Realizar uma pesquisa sobre o passo a passo para realizar um pagamento via PIX no agibank","","Thu May 22 09:25:24 GMT 2025","broken","Thu May 22 09:25:35 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","realizarUmaPesquisaSobreComoRealizarPIX"
