"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13797","Validar mensagem ao não encontrar a pesquisa desejada","","Wed May 28 09:24:46 GMT 2025","broken","Wed May 28 09:25:00 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarMensagemParaPesquisaNaoEncontrada"
"","10997","Realizar uma pesquisa sobre o passo a passo para realizar um pagamento via PIX no agibank","","Wed May 28 09:25:11 GMT 2025","broken","Wed May 28 09:25:22 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","realizarUmaPesquisaSobreComoRealizarPIX"
"","10979","Validar quando não a resultado encontrado é disponibilizado uma nova opção de pesquisa","","Wed May 28 09:25:00 GMT 2025","broken","Wed May 28 09:25:11 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarBarraDePesquisaParaQuandoOResultadoNaoEhEncontrado"
