"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10846","Realizar uma pesquisa sobre o passo a passo para realizar um pagamento via PIX no agibank","","Fri Mar 14 09:22:07 GMT 2025","broken","Fri Mar 14 09:22:18 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","realizarUmaPesquisaSobreComoRealizarPIX"
"","19036","Validar mensagem ao não encontrar a pesquisa desejada","","Fri Mar 14 09:21:37 GMT 2025","broken","Fri Mar 14 09:21:56 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarMensagemParaPesquisaNaoEncontrada"
"","10932","Validar quando não a resultado encontrado é disponibilizado uma nova opção de pesquisa","","Fri Mar 14 09:21:56 GMT 2025","broken","Fri Mar 14 09:22:07 GMT 2025","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarBarraDePesquisaParaQuandoOResultadoNaoEhEncontrado"
