"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13130","Validar mensagem ao não encontrar a pesquisa desejada","","Fri Nov 08 09:19:49 GMT 2024","broken","Fri Nov 08 09:20:02 GMT 2024","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarMensagemParaPesquisaNaoEncontrada"
"","11022","Realizar uma pesquisa sobre o passo a passo para realizar um pagamento via PIX no agibank","","Fri Nov 08 09:20:14 GMT 2024","broken","Fri Nov 08 09:20:25 GMT 2024","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","realizarUmaPesquisaSobreComoRealizarPIX"
"","11929","Validar quando não a resultado encontrado é disponibilizado uma nova opção de pesquisa","","Fri Nov 08 09:20:02 GMT 2024","broken","Fri Nov 08 09:20:14 GMT 2024","","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","io.agibank.blogdoagi.tests.PesquisaDeArtigosDoBlogTest","validarBarraDePesquisaParaQuandoOResultadoNaoEhEncontrado"
